,latitude,longitude,depth,place
10978,36.14,4.408,17.0,northern Algeria
10979,36.116,4.4430000000000005,33.0,northern Algeria
10993,36.19300000000001,4.466,33.0,northern Algeria
12381,36.065,4.498,33.0,northern Algeria
12589,35.979,4.385,33.0,northern Algeria
14191,36.542,4.41,33.0,northern Algeria
14872,34.806999999999995,5.051,33.0,northern Algeria
14887,34.996,4.5760000000000005,30.0,northern Algeria
16357,36.586,5.271,33.0,northern Algeria
16367,36.669,5.19,33.0,northern Algeria
16723,35.969,4.785,37.0,northern Algeria
20300,36.382,5.2970000000000015,33.0,northern Algeria
28834,36.32,5.2410000000000005,33.0,northern Algeria
29107,36.64,2.832,10.0,northern Algeria
29275,36.42,3.84,33.0,northern Algeria
33403,36.061,3.838,15.0,northern Algeria
55574,36.257,5.738,18.0,northern Algeria
71073,36.596,7.382999999999999,33.0,northern Algeria
74969,36.578,4.8180000000000005,33.0,northern Algeria
79636,36.477,6.154,33.0,northern Algeria
80333,36.611,2.892,33.0,northern Algeria
85362,33.319,0.192,10.0,northern Algeria
86007,36.678,5.37,33.0,northern Algeria
91254,32.981,1.2990000000000002,33.0,northern Algeria
91450,35.99,3.369,10.0,northern Algeria
110198,35.07,-1.225,10.0,northern Algeria
113815,36.424,1.758,33.0,northern Algeria
117843,35.747,1.121,33.0,northern Algeria
128980,36.195,1.354,10.0,northern Algeria
128981,36.364,1.632,10.0,northern Algeria
128986,36.046,1.348,10.0,northern Algeria
128988,36.246,1.493,10.0,northern Algeria
128992,35.931,1.652,10.0,northern Algeria
128993,35.969,1.356,10.0,northern Algeria
128995,36.175,1.794,10.0,northern Algeria
128996,36.221,1.611,10.0,northern Algeria
129003,36.461,1.372,10.0,northern Algeria
129006,36.066,1.345,10.0,northern Algeria
129011,36.353,1.596,11.0,northern Algeria
129017,36.331,1.523,10.0,northern Algeria
129021,36.3,1.4509999999999998,10.0,northern Algeria
129027,36.241,1.81,10.0,northern Algeria
129028,36.17,1.371,10.0,northern Algeria
129034,36.225,1.533,10.0,northern Algeria
129042,36.37,1.59,10.0,northern Algeria
129075,36.221,1.7719999999999998,10.0,northern Algeria
129084,36.247,1.675,10.0,northern Algeria
129095,36.481,1.568,10.0,northern Algeria
129105,36.167,1.453,10.0,northern Algeria
129167,36.26,1.569,10.0,northern Algeria
129187,36.259,1.7180000000000002,10.0,northern Algeria
129204,36.162,1.3030000000000002,10.0,northern Algeria
129216,36.534,1.376,10.0,northern Algeria
129254,36.338,1.6769999999999998,10.0,northern Algeria
129280,36.298,1.514,10.0,northern Algeria
129282,36.412,1.503,10.0,northern Algeria
129309,35.961,1.334,10.0,northern Algeria
129546,35.707,1.462,10.0,northern Algeria
129637,36.308,1.719,10.0,northern Algeria
129696,36.374,1.518,10.0,northern Algeria
129760,36.421,1.528,10.0,northern Algeria
129830,36.411,1.96,10.0,northern Algeria
129837,36.405,2.016,10.0,northern Algeria
129953,36.413,1.605,10.0,northern Algeria
130131,36.408,1.6780000000000002,10.0,northern Algeria
130247,36.317,1.648,10.0,northern Algeria
130588,36.511,1.587,10.0,northern Algeria
130594,36.106,1.36,10.0,northern Algeria
130695,36.436,1.3330000000000002,10.0,northern Algeria
132581,36.399,1.508,10.0,northern Algeria
132704,35.949,1.365,10.0,northern Algeria
132837,36.027,1.229,10.0,northern Algeria
132872,35.561,1.29,10.0,northern Algeria
133719,36.423,7.762,10.0,northern Algeria
134018,35.77,1.421,10.0,northern Algeria
134084,35.52,1.258,10.0,northern Algeria
135590,36.357,1.64,10.0,northern Algeria
135598,36.264,1.351,10.0,northern Algeria
135788,36.432,1.592,10.0,northern Algeria
135828,36.129,2.181,10.0,northern Algeria
135952,36.222,1.63,10.0,northern Algeria
136789,36.44300000000001,1.655,10.0,northern Algeria
136826,36.343,1.694,10.0,northern Algeria
136835,36.441,1.6780000000000002,10.0,northern Algeria
136933,36.406,1.521,10.0,northern Algeria
137158,36.332,1.497,10.0,northern Algeria
138141,35.9,1.28,10.0,northern Algeria
138457,36.137,0.998,10.0,northern Algeria
138975,35.509,1.26,10.0,northern Algeria
142296,36.694,1.848,16.6,northern Algeria
142306,36.647,1.869,10.0,northern Algeria
144589,36.242,1.676,10.0,northern Algeria
146878,36.167,1.575,10.0,northern Algeria
