id;id_article;pays;fips;continent;sous_continent;localisation_fine;autres_pays_concernes;latitude;longitude;code_origine_alea;origine_alea;code_alea;alea;code_peril;peril;code_sous_peril;sous_peril;annee;mois;date_debut;date_fin;nbre_evacues;nbre_pers_affectees;nbre_blesses;nbre_victimes;nbre_sans_abris;indice_csq_humaines;indice_csq_materielles;indice_evt;cout_estime;titre_article;article
19238;28194;Algérie;AG;Afrique;Maghreb;;;35.5771;6.1411;Hydro;Hydrologique;01;"01 Inondations et coulées de boue";011;"011 Crue";0112;"0112 Débordement torrentiel";2020;Sept.;2020-09-03;2020-09-03;0;0;0;3;0;2;2;2;0;"Des inondations font 3 morts dans les régions Algériennes de Batna et Tebessa";"""De fortes pluies ont provoqué des crues soudaines en Algérie dans la région de Batna et Tebessa. De fortes pluies ont eu lieu dans la partie nord de la wilaya de Batna (est de l'Algérie).Selon un bilan de la Protection civile, un jeune homme âgé de 23 ans est mort, emporté par les crues du oued Tadinart dans la commune de Bejéne, dans la wilaya de Tébessa. À Batna, les inondations ont fait deux victimes âgées de 49 et 51 ans, emportées par les crues du oued Bouafia dans la commune de Boumia.Les services de protection civile ont profité de toutes les opportunités humaines et matérielles pour aider les citoyens coincés dans leur voiture en raison de fortes pluies dans les zones inondées des municipalités de Fesdis, Al-Maater et Bumie.Plusieurs voitures ont été piégées dans un parking souterrain adjacent à l'université de Batna, qui a été complètement inondée."""
19135;28069;Algérie;AG;Afrique;Maghreb;;;36.55;6.27;Geo;Géologique;03;"03 Séismes";031;"031 Séismes tectoniques";;;2020;Août;2020-08-07;2020-08-07;0;0;0;0;0;0;2;2;0;"""Un séisme de magnitude 4,9 fait des dommages matériels dans la province algérienne de Mila""";"""Au moins trois maisons se sont effondrées à la suite d'un tremblement de terre de magnitude 4,9, qui a frappé 3 km au nord-est de Sidi Mérouane ( province de Mila ) à 7 h 15 (heure locale), à une profondeur de 10 km.Le tremblement de terre a gravement endommagé les structures et les infrastructures dans différents quartiers de Mila, poussant les habitants à fuir paniqués dans les rues. Environ 122 maisons ont été endommagées, dont trois maisons et une villa de quatre étages qui ont été complètement détruites, tandis que 31 appartements ont été partiellement détruits. D'autres maisons ont été gravement endommagées, notamment des fissures ouvertes dans les murs, les sols et les ruesDeux maisons sont situées dans la vieille ville et une autre habitation composée de 4 étages dans le quartier El Kherba, au chef-lieu et des fissures se sont produites sur la chaussée de ce même quartier sur une distance de 500 mètres, ont également poussé les citoyens à sortir de leurs foyers.La protection civile a précisé que les deux secousses ont provoqué en outre des fissures sur des piliers et des murs ainsi que des effondrements partiels de 15 maisons de la vieille ville, 11 autres dans le quartier El Kherba et 5 dans le quartier Kasr El Ma dans la commune de Mila.Au moins une route de la province a également été fermée en raison des dommages subis pendant le séisme. Aucun décès n'a été signalé."""
19086;28012;Algérie;AG;Afrique;Maghreb;;;36.1937;5.2607;Clim;Climatique;06;"06 Incendies de forêt";;;;;2020;Juill.;2020-07-26;2020-07-29;0;0;0;0;0;0;2;2;0;"Le Nord de l'Algérie confronté à de nombreux incendies";"""En Algérie, pas moins de 40 wilayas ont enregistré des incendies de forêt ces derniers jours. Plusieurs centaines d'hectares ont été brûlés.Dans la wilaya de Sétif, un feu a parcouru 140 ha.Outre les vergers à proximité des villages, les flammes ont atteint des maisons et des élevages de poules et autres animaux. Des citoyens ont été intoxiqués à cause de la fumée.D’importants feux ont ravagé les forêts de la wilaya de Béjaïa ces quatre derniers jours, dont deux ont duré deux jours. Les plus importants ont été ceux déclarés dimanche et qui ont mis à rudes épreuves pompiers et forestiers et inquiété les riverains qui ont eu peur pour leurs maisons.Le dernier bilan de la Protection civile fait état de 32 foyers dont les plus importants ont été déclenchés à Adekkar, Fenaïa Ilmaten, Barbacha, Tinebdar et Ighram. Ce sont les deux premiers foyers qui ont été particulièrement persistants et qu’on n’a pu éteindre qu’avant-hier.A Adekkar, précisément au lieudit Lambert, le sinistre, qui s’est déclaré dans la nuit de samedi dans une région difficile d’accès, était tel qu’il a fallu appeler en renfort urgent deux hélicoptères de pompiers dépêchés d’Alger et entrés en action dans l’après-midi. Ils sont venus appuyer l’intervention terrestre menée par d’importants moyens humains, dont ceux des colonnes mobiles de la Protection civile et des forestiers.La Direction générale des forêts dresse un constat des plus inquiétants. Pas moins de 814 incendies enregistrés durant la période allant du 1er juin au 25 juillet ont occasionné 4 277 hectares (ha) de pertes de superficies parcourues à travers le pays. De la totalité des dégâts, 1 498 ha sont des forêts, 1 230 ha des maquis, 1 548 ha de broussailles.En moyenne, la Direction générale des forêts (DGF) déplore pour cette période de canicule, 15 départs de feux/jour. Et chaque départ de feu a consumé 5,25 ha. Lundi dernier vers 17h, 66 incendies ont été signalés dans 22 wilayas."""
19044;27954;Algérie;AG;Afrique;Maghreb;;;36.3333;3.9213;Clim;Climatique;06;"06 Incendies de forêt";;;;;2020;Juill.;2020-07-13;2020-07-16;0;0;0;0;0;0;1;1;0;"Incendies de forêt dans le secteur de Bouira en Algérie";"""Les services de la Protection civile de la wilaya Algérienne de Bouira ont enregistré 34 incendies, durant 4 jours. Ces incendies ont détruit 7,5 ha de forêt, 8 ha de maquis et d'arbustes, 11 ha d'herbes sèches, 18 ha de récolte, 20 bottes de foin et 955 arbres fruitiers.Aussi, 2 convois ont prêté main forte, dans un incendie de forêt qui s'est déclaré dans la localité de Boghni, dans la wilaya de Tizi Ouzou."""
18828;27684;Algérie;AG;Afrique;Maghreb;;;35.7190;-0.7091;Hydro;Hydrologique;01;"01 Inondations et coulées de boue";012;"012 Ruissellement";0122;"0122 Ruissellement urbain";2020;Mai;2020-05-17;2020-05-17;0;0;0;1;0;2;2;2;0;"Inondations dans le Nord-Est de l'Algérie : 1 mort";"""De fortes pluies ont provoqué des inondations dans le nord-ouest de l' Algérie, endommageant des maisons et faisant au moins 1 mort. Tafraoui dans la province d'Oran a enregistré 32 mm de pluie en 24 heures jusqu'au 17 mai, tandis que dans la ville de Relizane (également connue sous le nom de Ghilizan) dans la province de Relizane a enregistré 65 mm au cours de la même période.Selon la protection civile de l'Algérie, les inondations ont causé des dégâts considérables aux maisons et aux routes de la province d'Oran. La protection civile a été appelée à secourir les populations des logements inondés. Une personne est décédée et une autre a été blessée lorsqu'une partie d'une maison s'est effondrée dans la commune de Mers El Kébir, près de la ville d'Oran.La Protection civile a également signalé des inondations dans la province voisine de Mostaganem, où environ 40 maisons ont été endommagées."""
18036;26698;Algérie;AG;Afrique;Maghreb;;;36.8682;6.9065;Hydro;Hydrologique;01;"01 Inondations et coulées de boue";012;"012 Ruissellement";0122;"0122 Ruissellement urbain";2019;Août;2019-08-31;2019-09-01;0;0;0;0;0;0;2;2;0;"De fortes pluies orageuses causent des inondations en Algérie";"""L'Algérie est sous l'influence d'une goutte froide d'altitude qui entraine la formation de violents orages diluviens qui ont causé des inondations. On ne déplore pas de victime.Près de 40 personnes ont été sauvées des eaux de crue.De violents orages ont balayé, la ville de Skikda et sa région, occasionnant la paralysie totale de la circulation et plongeant la zone pétrochimique dans une panne de courant électrique. Ce black-out serait dû aux énormes coups de tonnerre qui ont accompagné les fortes averses à partir de 8h.Les précipitations orageuses, pour le moins impressionnantes, se sont poursuivies, sans interruption, durant plus de 4 heures, plongeant ainsi la ville de Skikda dans une totale paralysie. Des pannes de courant et des perturbations sur le réseau de la téléphonie mobile ont été signalées dans plusieurs endroits.Ce déluge qui s’est abattu sur la région a surtout concerné les zones basses de la ville. L’artère principale des Allées du 20 Août 1955 n’a d’ailleurs pas tardé à être inondée, coupant pratiquement la ville en deux zones. Les cités Cisel, Merj Eddib les Frères Saker, la CIA et le 20 Août ont enregistré des montées considérables du niveau des eaux, dépassant dans certains endroits les 50 cm.A la cité Ben Mhidi, le torrent d’eau qui prenait naissance en amont, à la cité Bouzaâroura, a emporté la nouvelle canalisation dite, «des eaux pluviales», laquelle n’a pas trop résisté, alors qu’elle venait d’être installée il y a moins de deux mois seulement. Même s’il est vrai que les averses étaient très importantes, voire impressionnantes, cela n’explique cependant pas tout.A Jijel, les quartiers de l’est et de l’ouest de la ville, comme le boulevard Hocine Rouibah, la cité Haïne, Village Mustapha, les environs de la plage Kotama, le boulevard, et même, dans une moindre mesure, le centre-ville, généralement épargné.Un grand nombre de véhicules, surtout du côté ouest de la ville, ont vu leur habitacle inondé, parfois comme nous avons pu le constater de visu, jusqu’au tableau de bord.Les premières interventions ont été le fait des citoyens eux-mêmes, dont certains ont accouru pour ouvrir les regards du réseau d’assainissement, en enlevant les tampons métalliques et en tentant de déboucher ceux qui étaient bouchés. Par la suite, il y a eu l’intervention des éléments de la Protection civile. Cette nouvelle inondation remet sur la table la question du curage et du nettoyage des regards durant la saison estivale, une tradition désormais perdue au niveau des collectivités locales.Au cours d'une période de 24 heures jusqu'au 1er septembre, 127,3 mm de pluie sont tombés sur la ville de Skikda, environ 4 fois la moyenne mensuelle de septembre."""
17899;26533;Algérie;AG;Afrique;Maghreb;;;36.2000;3.8326;Clim;Climatique;06;"06 Incendies de forêt";;;;;2019;Juill.;2019-07-24;2019-07-28;0;0;0;0;0;0;2;2;0;"Nombreux incendies dans l'Est et le centre de l'Algérie";"""Plusieurs régions du Centre et de l'Est de l'Algérie sont la proie d’incendies qui ravagent une bonne partie de leur patrimoine forestier. La Protection civile, en collaboration avec la Direction nationale des forêts, a déployé des moyens importants pour venir à bout de ces feux.La Protection civile, dans son bilan de ces dernières 48 heures, évoque la survenue de 21 incendies dans 14 wilayas, dont Tizi Ouzou, Boumerdès, Tipasa, Médéa, Tissemsilt, Oum El Bouaghi, Tébessa et Tlemcen. Toutefois, la plus affectée par ces feux c’est la wilaya de Bouira, avec deux grands incendies.En matière de dégâts, la DGPC comptabilise pour la période du 25 au 27 de ce mois, 71,5 ha de forêt, 25 ha de maquis, 3 ha d’orge, 100 ha de broussailles, 6860 bottes de foin, 10 palmiers et 2682 arbres fruitiers emportés par les flammes. Selon le colonel Achour, tous ces feux sont maîtrisés et en cours d’extinction.Rien que pour la journée de jeudi, 15 départs de feu ont été enregistrés à Tizi Ouzou. Ils ont tous été éteints le jour même.Pour maîtriser ces incendies, 37 unités ont été déployées sur le territoire national, indépendamment des 400 unités territoriales. Ceci sans compter les hélicoptères bombardiers d’eau (HBE) qui participent amplement à ces opérations d’extinction des feux.Pour rappel, depuis le 1er juin, 715 incendies sont déplorés ayant entraîné des dégâts importants, estimés à plus de 8000 hectares entre forêts, maquis, broussailles et récoltes."""
17861;26494;Algérie;AG;Afrique;Maghreb;;;36.7001;4.0057;Clim;Climatique;06;"06 Incendies de forêt";;;;;2019;Juill.;2019-07-20;2019-07-21;0;0;0;0;0;0;1;1;0;"Incendies de forêt dans le Nord de l'Algérie : 90 ha brûlés";"""Vingt-cinq incendies ont été enregistrés, entre dimanche et lundi, dans la wilaya Algérienne de Tizi Ouzou. Neuf communes ont été touchées par ces départs de feu.Il s’agit de Makouda (villages Ililane et Azrou Ougadou), Mizrana (village Tibecharine), Yakouren (village Azrou) et Draâ El Mizan (village Tazrout). D’autres incendies ont été enregistrés à Takhelidjt (dans la commune d’Abi Youcef), Mezeguène (Illoula Oumalou), Igoulfane (Mekla) et Aït Khir (Aït Khelili).Un incendie qui s’est déclaré dimanche vers 17h au village Tifra, dans la localité de Tigzirt, n’était toujours pas maîtrisé hier, ajoute-t-on de même source.Plus de 90 ha de forêt et de broussailles sont partis en fumée lors de ces incendies, en plus de 600 arbres fruitiers et plus de 2600 bottes de foin consumées. Deux poulaillers ont aussi été la proie des flammes à Makouda, précise-t-on.Les incendies se sont multipliés ces dernières semaines en raison des fortes chaleurs enregistrées. La Protection civile a dénombré 99 incendies du 1er juin au 15 juillet. Durant les deux premières semaines du mois en cours, 58 incendies ont engendré la perte de 114 ha de maquis et 2 ha de récoltes.Plus de 2100 arbres fruitiers ont aussi brûlé lors de cette même période. Les journées des 8 et 9 juillet ont été particulières avec 40 départs de feu recensés à travers la wilaya et plus de 130 ha de forêt brûlée."""
17708;26309;Algérie;AG;Afrique;Maghreb;;Tunisie;28.2631;3.6213;Clim;Climatique;13;"13 Chaleur";131;"131 Vague de chaleur";;;2019;Juin;2019-06-13;2019-06-14;0;0;0;0;0;1;0;1;0;"L'Algérie et le Maroc en proie à une forte vague de chaleur";"""L'Algérie et la Tunisie sont actuellement en proie à une intense vague de chaleur dû à une succession d'épisode de Sirocco, un vent chaud de secteur Sud qui remonte directement du centre du Sahara, aspiré par des zone dépressionnaires centrée sur la Méditerranée.L'Algérie et la Tunisie connaissent donc des températures quotidiennement proches de 45°C dans le sud désertique, et sous l'effet du sirocco, cet air très chaud s'étend aussi vers le Nord avec jusqu'à 38°C à Alger. Mais, en raison des brises de mer, ces températures caniculaires s'en trouve modérées sur les grandes villes côtières (entre 28°C et 32°C), tandis que l'intérieur des terres connaît des valeurs comprises régulièrement entre 38°C et 45°C.En revanche, l'ouest de l'Algérie et la Maroc ne sont pas concernés par cette canicule en raison de la présence d'air plus frais venant de l'océan Atlantique. La chaleur pourrait néanmoins s'accentuer en cours de semaine prochaine."""
17633;26225;Algérie;AG;Afrique;Maghreb;;Tunisie;36.4803;2.7834;Met;Météorologique;15;"15 Intempéries";151;"151 Intempéries pluvieuses";;;2019;Mai;2019-05-25;2019-05-26;0;0;0;0;0;0;1;1;0;"Intempéries pluvieuses en Algérie et en Tunisie";"""En lien avec unedépression, glissant actuellement de la péninsule ibérique vers Méditerranée, des pluies d'orages particulièrement fortes ont touché les pays riverains du Sud de la Méditerranée.Des pluies assez importantes se sont abattues sur la wilaya alégrienne de Blida causant des inondations assez importantes en divers endroits. Ainsi, la Protection civile de Blida a eu à intervenir pour pomper les eaux au niveau de l'échangeur du CHU Frantz Fanon sur l'autoroute est-ouest, à Maramane de l'intérieur d'un transformateur électrique et de 11 maisons, à Chiffa de l'intérieur de 9 maisons et de l'intérieur de 11 autres maisons à Haï Guergour. Les pluies ont occasionné plusieurs coupures d'électricité et dans l'alimentation en eau potable au niveau d'un nombre de communes de la wilaya. De nombreuses coupures d'électricité ont été enregistrées au niveau notamment des cités Mermane, Deriouche, Zaouia, et de la Route de Chréa, au même titre que des communes de Bouarfa et Beni Tamou, comptant en tout près de 15.000 abonnées. De même, l'unité de l'Algérienne des eaux (ADE) a fait état de perturbations dans la distribution de l'eau potable au niveau des cités de la commune de Bouarfa, et de la partie ouest de la commune de Blida. Dans la wilaya d'El Tarf, les services de la Protection civile sont intervenus en plusieurs endroits afin d'évacuer l'eau. C'est le cas des cités des 500 logements, Sebaa R'goud et ailleurs. Enfin, des coupures d'électricité, de presque une heure, ont touché plusieurs communes. C'était le cas de Drean, Chihani et Chebaita Mokhtar.En Tunisie,la région de Jendouba a connu des crues et des trop-plein de lacs de rétention de certains barrages, ayant entrainé la coupure de certains axes routiers dont, notamment, La RN 17 au Km 10, à Tabarka. Le passage vers Tunis reste possible pour les voitures légères, par la déviation mise en place pour les travaux sur les derniers affaissements de terrains et pour les poids lourds, à travers la RN 11, vers Amdoun, puis la régionale 161, ensuite la RN 7."""
